[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ route_check ] --END-- [ RunTime:0.001079s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ app_begin ] --START--
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000542s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000604s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.007503s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.004818s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT 0,5   [ RunTime:0.000244s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_template ] --START--
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run LocationTemplate Behavior [ RunTime:0.000993s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_template ] --END-- [ RunTime:0.001053s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_parse ] --START--
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  dashboard 4cf132cdb6642034410dbfb2ab3160bc.php 第 39 行.
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  memo 4cf132cdb6642034410dbfb2ab3160bc.php 第 43 行.
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  new_memo 4cf132cdb6642034410dbfb2ab3160bc.php 第 47 行.
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  manage_memo 4cf132cdb6642034410dbfb2ab3160bc.php 第 48 行.
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  new_article 4cf132cdb6642034410dbfb2ab3160bc.php 第 55 行.
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | NOTIC: [8] Undefined index:  manage_article 4cf132cdb6642034410dbfb2ab3160bc.php 第 56 行.
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Run ParseTemplate Behavior [ RunTime:0.019310s ]
[ 2015-02-09T00:03:42+08:00 ] /thinkphpTest/admin.php/Article/draft | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019379s ]
